"問題ID","アルゴリズム","条件","被験者ID","実施日","ブロックID","ラベル","開始行","終了行","行数","判定領域_上px","判定領域_下px","判定領域_左px","判定領域_右px","判定領域_上_正規化","判定領域_下_正規化","判定領域_左_正規化","判定領域_右_正規化","文字範囲_上px","文字範囲_下px","ウィンドウ幅","ウィンドウ高さ","行ピッチpx","文字サイズpx"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","B1","B1","1","1","1","44.8","110","0","756","0.0472","0.1159","0","0.5","72.8","97.6","1512","949","24.8","16"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","B2","B2","3","5","3","110","246.4","0","756","0.1159","0.25962","0","0.5","122.4","196.8","1512","949","24.8","16"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","B3","B3","10","14","5","246.4","469.5","0","756","0.25962","0.49478","0","0.5","296","420","1512","949","24.8","16"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","B4","B4","19","19","1","469.5","581.1","0","756","0.49478","0.61236","0","0.5","519.1","543.9","1512","949","24.8","16"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","B5","B5","23","24","2","581.1","949","0","756","0.61236","1","0","0.5","618.3","667.9","1512","949","24.8","16"
