被験者ID,問題ID,アルゴリズム,条件,設問,訪問回数,滞在ミリ秒,初回開始秒,最終終了秒,課題全体秒,理解度正誤,自己評価理解度,介入要請回数,介入ラベル有効,理解度ラベル有効,自己評価ラベル有効,脳波_TP9_θ,脳波_TP9_α,脳波_TP9_β,脳波_TP9_低γ,脳波_AF7_θ,脳波_AF7_α,脳波_AF7_β,脳波_AF7_低γ,脳波_AF8_θ,脳波_AF8_α,脳波_AF8_β,脳波_AF8_低γ,脳波_TP10_θ,脳波_TP10_α,脳波_TP10_β,脳波_TP10_低γ,脳波_TP9_θ相対,脳波_TP9_α相対,脳波_TP9_β相対,脳波_TP9_低γ相対,脳波_AF7_θ相対,脳波_AF7_α相対,脳波_AF7_β相対,脳波_AF7_低γ相対,脳波_AF8_θ相対,脳波_AF8_α相対,脳波_AF8_β相対,脳波_AF8_低γ相対,脳波_TP10_θ相対,脳波_TP10_α相対,脳波_TP10_β相対,脳波_TP10_低γ相対,脳波_TP9_総パワー,脳波_AF7_総パワー,脳波_AF8_総パワー,脳波_TP10_総パワー,脳波_θα比,脳波_前頭左右差α,脳波_サンプル数,脳波_品質,脳波_振幅超過率,脳波有効,心拍_平均HR,心拍_サンプル数,心拍_RR件数,心拍_RR平均ms,心拍_RMSSD,心拍_SDNN,心拍_pNN50,瞳孔_eye0_平均px,瞳孔_eye0_標準偏差px,瞳孔_eye0_件数,瞳孔_eye0_平均mm,瞳孔_eye1_平均px,瞳孔_eye1_標準偏差px,瞳孔_eye1_件数,瞳孔_eye1_平均mm,瞳孔_採用率,瞳孔_3d有効率,注視_回数毎秒,注視_平均時間ms,注視_時間割合,注視_件数,視線_サンプル数,視線_画面内率,視線_コード率,視線_設計書率,視線_往復回数毎秒,視線_ブロック遷移毎秒,視線_コード縦移動量毎秒,視線_コード縦分散,視線_B1率,視線_B2率,視線_B3率,視線_B4率,視線_B5率,視線_B6率
S03,pE,2進数への変換,学習用,Q6,1,87436,4711.109,4798.545,4798.545,,4,1,1,0,1,1596.1498,492.1802,679.6667,749.7721,2260.8078,838.8103,781.2469,631.4371,1545.1901,485.677,739.1182,798.9432,1584.6223,527.4656,635.5112,742.806,0.4537,0.1399,0.1932,0.2131,0.501,0.1859,0.1731,0.1399,0.433,0.1361,0.2071,0.2239,0.454,0.1511,0.1821,0.2128,3517.7689,4512.3021,3568.9285,3490.4051,2.9805,0.5464,22368.0,振幅過大,0.1812,0.0,63.62,89.0,86.0,947.98,11.81,69.64,0.0,53.2065,6.5652,10178.0,2.4547,59.3883,8.0051,10105.0,3.039,0.8413,0.4054,0.4689,309.03,0.1449,41.0,11957.0,0.7605,0.1868,0.8132,2.0893,0.7576,0.566,0.042183,0.0235,0.2137,0.3349,0.1371,0.2225,0.0683
S04,pC,挿入ソート,学習用,Q1,1,1168590,0.002,1168.592,2170.234,不正解,5,0,1,1,1,147.4185,27.9714,23.6947,4.9225,24.8417,4.6831,6.02,2.2185,63.6583,6.0058,4.2386,1.4926,142.3532,27.4047,20.1391,4.7899,0.7226,0.1371,0.1161,0.0241,0.6578,0.124,0.1594,0.0587,0.8443,0.0797,0.0562,0.0198,0.7312,0.1408,0.1034,0.0246,204.0071,37.7633,75.3953,194.687,5.7258,-0.2488,299194.0,有効,0.0013,1.0,74.63,1444.0,1438.0,806.44,10.66,48.11,0.49,48.0711,5.079,153020.0,2.4783,60.1764,7.9159,156348.0,2.6895,0.8257,0.3917,0.1711,327.16,0.056,200.0,186794.0,0.8669,0.5023,0.4977,3.8389,0.7813,3.3551,0.020698,0.0147,0.1746,0.3879,0.3539,0.0467,0.0222
S04,pC,挿入ソート,学習用,Q2,1,248875,1226.625,1475.5,2170.234,不正解,5,0,1,1,1,163.5209,32.245,19.4104,3.806,42.3074,8.5677,12.4364,6.9776,36.2044,9.3227,5.1567,1.7922,169.3393,28.5702,20.862,4.3592,0.7467,0.1472,0.0886,0.0174,0.6019,0.1219,0.1769,0.0993,0.6899,0.1777,0.0983,0.0342,0.7589,0.128,0.0935,0.0195,218.9823,70.2891,52.4759,223.1307,5.2267,-0.0845,63720.0,有効,0.0019,1.0,71.43,268.0,266.0,841.06,9.17,37.09,0.0,46.8699,4.5043,35050.0,2.3825,60.2167,7.5866,37101.0,2.632,0.905,0.4441,0.0804,315.49,0.0254,20.0,39755.0,0.8936,0.4615,0.5385,1.9689,0.4782,3.2773,0.014959,0.0046,0.1014,0.4314,0.4201,0.0244,0.0181
S04,pC,挿入ソート,学習用,Q3,1,131728,1516.85,1648.578,2170.234,正解,5,0,1,1,1,119.2082,23.5355,16.3284,2.9402,19.1318,3.9063,4.372,1.3008,17.9202,3.459,3.724,1.3388,120.6925,22.3058,13.8591,3.2688,0.7358,0.1453,0.1008,0.0181,0.6664,0.1361,0.1523,0.0453,0.6777,0.1308,0.1408,0.0506,0.7537,0.1393,0.0866,0.0204,162.0123,28.7109,26.442,160.1262,5.2052,0.1216,33726.0,有効,0.0,1.0,74.44,144.0,143.0,808.85,10.16,53.8,0.0,45.851,3.8517,19154.0,2.3674,59.5473,6.7028,19671.0,2.5992,0.9204,0.4539,0.0911,308.24,0.0281,12.0,21084.0,0.9227,0.4541,0.5459,2.3838,0.539,3.0236,0.028331,0.028,0.1993,0.2576,0.391,0.0964,0.0276
S04,pC,挿入ソート,学習用,Q4,1,181293,1713.435,1894.728,2170.234,不正解,5,0,1,1,1,121.2818,24.2775,26.4006,6.4213,14.8701,3.2848,4.3698,1.4092,18.6236,3.3471,5.553,2.3261,109.8222,21.6505,22.1545,6.5958,0.6799,0.1361,0.148,0.036,0.6213,0.1372,0.1826,0.0589,0.6239,0.1121,0.186,0.0779,0.6854,0.1351,0.1383,0.0412,178.3812,23.934,29.8498,160.223,5.0342,-0.0188,46417.0,有効,0.0139,1.0,72.15,218.0,218.0,833.01,9.2,36.84,0.46,44.8318,4.2941,24647.0,2.2223,57.0687,7.0529,25767.0,2.3341,0.8891,0.4349,0.0827,307.75,0.0255,15.0,28291.0,0.9082,0.3176,0.6824,2.394,0.3751,2.023,0.027893,0.0066,0.1202,0.4792,0.2659,0.0676,0.0604
S04,pC,挿入ソート,学習用,Q5,1,204166,1936.227,2140.393,2170.234,正解,5,1,1,1,1,122.2109,23.3517,20.6631,4.4603,13.7948,3.2796,4.4886,1.6805,16.4212,3.1238,5.068,2.2138,120.0047,21.6668,18.8052,5.0817,0.716,0.1368,0.1211,0.0261,0.5935,0.1411,0.1931,0.0723,0.6121,0.1164,0.1889,0.0825,0.7248,0.1309,0.1136,0.0307,170.6859,23.2435,26.8268,165.5584,5.298,0.0487,52273.0,有効,0.0031,1.0,73.23,219.0,218.0,819.99,13.82,32.42,0.92,45.7476,4.9299,24780.0,2.3267,58.0161,7.9524,28668.0,2.4954,0.863,0.4178,0.2253,310.64,0.07,46.0,30743.0,0.8172,0.1967,0.8033,2.1454,0.387,1.2326,0.040588,0.0447,0.4538,0.2397,0.1246,0.069,0.0682
S04,pC,挿入ソート,学習用,Q6,1,19592,2150.642,2170.234,2170.234,,5,0,1,0,1,174.5394,27.8133,28.1845,6.2447,9.4013,3.5517,5.0421,1.3793,16.3181,4.4245,6.2768,2.0298,184.9687,24.8451,24.214,6.7485,0.7371,0.1175,0.119,0.0264,0.4852,0.1833,0.2602,0.0712,0.5617,0.1523,0.2161,0.0699,0.7682,0.1032,0.1006,0.028,236.782,19.3745,29.0493,240.7763,6.3533,-0.2197,4983.0,有効,0.0,1.0,73.1,21.0,18.0,818.36,6.04,6.3,0.0,46.1483,4.8845,2402.0,2.4064,58.6703,6.5232,2597.0,2.7159,0.9179,0.4521,0.3062,307.63,0.0942,6.0,2690.0,0.7078,0.0053,0.9947,0.4106,0.0513,0.0877,0.064757,0.1,0.0,0.0,0.2,0.3,0.4
S04,pD,エラトステネスのふるい,学習用,Q1,1,1386014,0.002,1386.016,3415.435,正解,5,0,1,1,1,196.3831,40.195,30.0736,17.8092,104.6354,22.9045,23.6789,18.7931,75.9583,15.0989,18.3884,15.6506,198.5844,39.8824,29.4923,18.0352,0.6904,0.1413,0.1057,0.0626,0.6155,0.1347,0.1393,0.1105,0.6072,0.1207,0.147,0.1251,0.6944,0.1395,0.1031,0.0631,284.461,170.0119,125.0963,285.9943,4.8743,0.4167,354861.0,有効,0.0067,1.0,84.27,74.0,62.0,718.51,9.71,53.9,0.0,49.3828,6.1913,155615.0,2.1907,61.6693,8.9707,173804.0,2.8169,0.794,0.3754,0.3737,322.12,0.1204,518.0,205867.0,0.8464,0.5293,0.4707,3.3723,0.5382,2.2024,0.0165,0.0037,0.0242,0.0731,0.1106,0.7462,0.0422
S04,pD,エラトステネスのふるい,学習用,Q2,1,308323,1489.995,1798.318,3415.435,不正解,5,0,1,1,1,221.968,48.0408,31.4909,5.9294,73.6955,13.5372,14.9292,6.7427,49.0576,8.9598,10.2313,4.1617,205.4985,40.928,27.5693,7.2271,0.722,0.1563,0.1024,0.0193,0.6767,0.1243,0.1371,0.0619,0.6775,0.1237,0.1413,0.0575,0.7307,0.1455,0.098,0.0257,307.4291,108.9046,72.4102,281.2228,4.9362,0.4127,78940.0,有効,0.0294,1.0,,0.0,0.0,,,,,50.5736,6.0954,39298.0,2.7435,63.716,8.6501,42068.0,2.853,0.8911,0.4363,0.2303,308.17,0.071,71.0,45262.0,0.8454,0.4497,0.5503,1.4207,0.5125,1.4575,0.023194,0.0033,0.0395,0.3404,0.1349,0.452,0.0299
S04,pD,エラトステネスのふるい,学習用,Q3,1,569470,1911.374,2480.844,3415.435,不正解,5,1,1,1,1,236.0286,56.4927,52.0393,16.1839,108.3819,24.3084,34.3064,12.5849,91.18,22.1933,32.193,6.5113,209.0909,47.4582,34.1259,9.2744,0.6543,0.1566,0.1443,0.0449,0.6035,0.1354,0.191,0.0701,0.5996,0.1459,0.2117,0.0428,0.6971,0.1582,0.1138,0.0309,360.7444,179.5815,152.0777,299.9494,4.2849,0.091,145801.0,有効,0.0314,1.0,,0.0,0.0,,,,,48.1171,5.2387,76199.0,2.4922,59.953,7.4868,79671.0,2.6663,0.909,0.4456,0.2388,310.97,0.0743,136.0,85280.0,0.9417,0.394,0.606,2.188,0.5215,2.0072,0.035006,0.0263,0.126,0.1917,0.1186,0.498,0.0393
S04,pD,エラトステネスのふるい,学習用,Q4,1,200105,2551.762,2751.867,3415.435,不正解,5,0,1,1,1,188.1446,32.6475,26.9953,7.2223,65.4154,11.7809,14.5811,6.7303,50.2847,8.28,9.9508,4.1237,180.1434,29.1007,22.1887,5.9755,0.7378,0.128,0.1059,0.0283,0.6641,0.1196,0.148,0.0683,0.6923,0.114,0.137,0.0568,0.7588,0.1226,0.0935,0.0252,255.0097,98.5078,72.6392,237.4083,5.9161,0.3526,51232.0,有効,0.0006,1.0,,0.0,0.0,,,,,46.713,4.9565,25454.0,2.5231,59.2561,7.1365,27366.0,2.6014,0.8902,0.4333,0.1849,306.98,0.0568,37.0,29397.0,0.858,0.3929,0.6071,1.5494,0.6397,1.9755,0.018844,0.0091,0.0257,0.1356,0.1787,0.6156,0.0352
S04,pD,エラトステネスのふるい,学習用,Q5,1,443628,2819.774,3263.402,3415.435,正解,5,2,1,1,1,223.6571,40.2163,31.9147,7.9316,100.2238,15.2509,12.8484,4.2663,89.9459,12.9807,11.8754,3.5311,222.7875,37.7997,29.6524,7.6265,0.7364,0.1324,0.1051,0.0261,0.7559,0.115,0.0969,0.0322,0.7601,0.1097,0.1004,0.0298,0.7479,0.1269,0.0995,0.0256,303.7197,132.5893,118.3331,297.8662,5.9918,0.1612,113582.0,有効,0.0099,1.0,,0.0,0.0,,,,,49.9902,6.4425,51729.0,2.499,62.4798,8.5392,59293.0,2.8164,0.8461,0.4046,0.2998,312.83,0.0938,133.0,65142.0,0.8235,0.3801,0.6199,1.6275,0.4711,2.169,0.021555,0.0107,0.0531,0.1301,0.2228,0.5487,0.0346
S04,pD,エラトステネスのふるい,学習用,Q6,1,122958,3292.477,3415.435,3415.435,,5,0,1,0,1,846.2429,204.5699,156.6089,16.3189,616.5187,168.5253,139.3918,12.9169,595.0374,168.4915,139.8791,12.6453,832.4756,204.2026,158.7266,17.1598,0.6915,0.1672,0.128,0.0133,0.6577,0.1798,0.1487,0.0138,0.6496,0.1839,0.1527,0.0138,0.6865,0.1684,0.1309,0.0142,1223.7406,937.3527,916.0534,1212.5646,3.8755,0.0002,31425.0,有効,0.0231,1.0,,0.0,0.0,,,,,50.5438,7.1441,11693.0,2.4631,63.0749,9.7741,14407.0,3.0705,0.7432,0.3512,0.2684,310.25,0.0833,33.0,17462.0,0.6205,0.1738,0.8262,1.599,0.3753,0.6885,0.04629,0.0048,0.1083,0.3436,0.0898,0.3245,0.129
S04,pE,2進数への変換,学習用,Q1,1,1824022,0.002,1824.024,4090.796,不正解,4,0,1,1,1,101.4646,22.4147,17.4689,3.8864,9.3408,2.6315,6.8383,2.5044,12.111,2.1496,7.2619,3.1866,102.9477,22.825,16.5845,5.0664,0.6986,0.1543,0.1203,0.0268,0.4382,0.1235,0.3208,0.1175,0.4901,0.087,0.2939,0.129,0.6983,0.1548,0.1125,0.0344,145.2345,21.315,24.7091,147.4236,4.5154,0.2023,467005.0,有効,0.0014,1.0,77.72,2327.0,2312.0,777.15,10.86,63.67,0.56,44.4188,6.3032,136726.0,2.1618,49.3023,8.1525,163584.0,2.8955,0.5827,0.2637,0.4523,325.32,0.1471,825.0,256843.0,0.6748,0.4331,0.5669,3.728,1.2516,1.538,0.043562,0.0299,0.0953,0.1958,0.1317,0.4527,0.0947
S04,pE,2進数への変換,学習用,Q2,1,279557,1981.734,2261.291,4090.796,正解,4,0,1,1,1,105.7783,22.0507,18.519,4.2188,11.4495,3.2615,6.704,2.6165,10.3775,2.8477,7.6678,3.1318,108.7783,22.2294,18.0776,5.3099,0.7025,0.1465,0.123,0.028,0.4764,0.1357,0.279,0.1089,0.4319,0.1185,0.3192,0.1304,0.7045,0.144,0.1171,0.0344,150.5669,24.0316,24.0248,154.3952,4.6911,0.1357,71575.0,有効,0.0,1.0,71.02,331.0,330.0,846.55,7.8,41.03,0.0,43.8912,4.0157,32588.0,2.1631,50.0288,4.772,35859.0,2.7988,0.8352,0.4034,0.7834,312.18,0.2446,219.0,40138.0,0.8468,0.3613,0.6387,1.4954,0.6046,0.6427,0.012107,0.0001,0.0047,0.028,0.0653,0.8126,0.0893
S04,pE,2進数への変換,学習用,Q3,1,815459,2328.192,3143.651,4090.796,正解,4,1,1,1,1,231.607,45.23,47.1764,7.169,164.4845,29.6805,37.71,7.3716,129.5452,26.9246,33.0453,4.7573,231.7719,46.0772,47.8382,9.0261,0.6993,0.1366,0.1424,0.0216,0.6875,0.1241,0.1576,0.0308,0.6668,0.1386,0.1701,0.0245,0.6924,0.1377,0.1429,0.027,331.1825,239.2465,194.2724,334.7134,5.1207,0.0975,208782.0,有効,0.0056,1.0,74.56,1011.0,1010.0,806.54,8.64,42.04,0.0,45.7868,4.9569,93331.0,2.1768,52.0236,6.0231,105842.0,2.9529,0.8224,0.3959,0.6426,311.06,0.1999,524.0,120035.0,0.8168,0.5522,0.4478,1.6972,1.0178,1.4594,0.022397,0.0021,0.0221,0.0683,0.0763,0.6958,0.1353
S04,pE,2進数への変換,学習用,Q4,1,60857,3214.159,3275.016,4090.796,正解,4,0,1,1,1,267.9204,50.3683,36.6988,5.7119,119.7111,32.5731,26.1321,3.6676,108.9233,31.3483,25.8145,4.9337,261.6165,47.3325,35.0805,6.5089,0.7428,0.1396,0.1017,0.0158,0.6575,0.1789,0.1435,0.0201,0.6369,0.1833,0.1509,0.0288,0.7463,0.135,0.1001,0.0186,360.6994,182.0839,171.0197,350.5385,4.691,0.0383,15581.0,有効,0.0314,1.0,78.14,79.0,79.0,767.8,7.48,18.35,0.0,42.0078,3.5584,7166.0,1.9423,49.496,3.7458,7904.0,2.6621,0.8521,0.4131,0.7723,308.59,0.2383,47.0,8630.0,0.9349,0.2335,0.7665,2.3993,0.6245,0.5506,0.029022,0.0021,0.0191,0.2505,0.0717,0.5377,0.1189
S04,pE,2進数への変換,学習用,Q5,1,753444,3300.244,4053.688,4090.796,不正解,4,1,1,1,1,169.4983,38.5199,32.7777,10.7647,87.296,20.361,17.926,6.986,80.4668,19.2892,18.1622,7.544,172.2212,37.9953,34.9993,12.4821,0.6738,0.1531,0.1303,0.0428,0.6585,0.1536,0.1352,0.0527,0.6414,0.1537,0.1448,0.0601,0.6683,0.1474,0.1358,0.0484,251.5606,132.5689,125.462,257.6979,4.3858,0.0541,192904.0,有効,0.0386,1.0,73.56,922.0,922.0,817.15,9.38,38.11,0.33,44.0935,5.1365,80637.0,2.1053,50.683,6.0337,97758.0,2.7471,0.8054,0.3831,0.6543,314.76,0.206,493.0,108014.0,0.7308,0.322,0.678,1.8767,0.6902,0.9327,0.03471,0.0117,0.0625,0.1116,0.0962,0.6091,0.1088
