被験者ID,問題ID,条件,判定,XDF,課題データ,events.csv,layout.csv,課題全体秒,task_start,ヒント要請数,脳波件数,加速度件数,サーフェス視線件数,視線件数,注視件数,瞳孔件数,心拍件数,マーカー件数,サーフェス視線_画面内件数,注記
S03,pD,学習用,使用可,design_pD_learning_S03_20260820_183213.xdf,あり,あり,あり,2681.654,あり,3,689508,138633,400863,396173,6032,792346,2254,4,332756,問題なし
S03,pE,学習用,使用可,design_pE_learning_S03_20260821_112416.xdf,あり,あり,あり,4798.545,あり,6,1257876,252963,690021,681698,10361,1363396,3970,7,469101,問題なし
S04,pC,学習用,使用可,design_pC_learning_S04_20260820_212640.xdf,あり,あり,あり,2170.234,あり,1,569292,114486,353008,353213,891,706426,2641,2,313000,問題なし
S04,pD,学習用,使用可,design_pD_learning_S04_20260820_201100.xdf,あり,あり,あり,3415.435,あり,3,890484,179073,517427,518206,2705,1036412,164,5,455675,問題なし
S04,pE,学習用,使用可,design_pE_learning_S04_20260822_172504.xdf,あり,あり,あり,4090.796,あり,2,1052424,211644,595549,593835,7959,1187670,5128,3,453951,問題なし
S05,pD,学習用,使用可,design_pD_learning_S05_20260821_141850.xdf,あり,あり,あり,2072.857,あり,2,546384,109854,287191,285892,1299,571784,2531,3,185994,問題なし
S05,pE,学習用,使用可,design_pE_learning_S05_20260821_150955.xdf,あり,あり,あり,2162.016,あり,2,559944,112584,302841,301022,2270,602030,2442,3,193318,問題なし
S06,pD,学習用,使用可,design_pD_learning_S06_20260822_191233.xdf,あり,あり,あり,1510.611,あり,1,396852,79800,236419,235147,1576,470294,1410,2,211799,問題なし
S06,pE,学習用,使用可,design_pE_learning_S06_20260822_194933.xdf,あり,あり,あり,1232.174,あり,0,317232,63792,186905,186508,397,373016,1162,1,173419,問題なし
